11.404 0.00769225 -0.0795628  3.5671 -1.018  -0.00710702 -0.079301  3.35025 -1.07551  
11.4668 0.00763505 -0.0792008  3.56505 -1.01289  -0.00704822 -0.0789555  3.35078 -1.06833  
11.5296 0.00757824 -0.0788416  3.56304 -1.00786  -0.00699018 -0.0786129  3.35131 -1.06118  
11.5925 0.00752183 -0.0784853  3.56107 -1.00291  -0.00693287 -0.078273  3.35185 -1.05406  
11.6553 0.00746582 -0.0781317  3.55913 -0.998024  -0.00687629 -0.0779359  3.3524 -1.04697  
11.7181 0.0074102 -0.0777809  3.55724 -0.993213  -0.00682044 -0.0776014  3.35295 -1.03991  
11.781 0.00735498 -0.0774328  3.55537 -0.988473  -0.00676529 -0.0772695  3.35351 -1.03288  
11.8438 0.00730015 -0.0770875  3.55355 -0.983802  -0.00671084 -0.0769403  3.35408 -1.02588  
11.9066 0.00724573 -0.0767448  3.55176 -0.9792  -0.00665709 -0.0766137  3.35465 -1.01891  
11.9695 0.00719169 -0.0764048  3.55 -0.974664  -0.00660402 -0.0762896  3.35523 -1.01197  
12.0323 0.00713805 -0.0760675  3.54829 -0.970195  -0.00655161 -0.0759681  3.35582 -1.00506  
12.0951 0.00708481 -0.0757327  3.5466 -0.96579  -0.00649988 -0.075649  3.35642 -0.998183  
12.158 0.00703196 -0.0754006  3.54495 -0.961449  -0.00644879 -0.0753324  3.35703 -0.991338  
12.2208 0.0069795 -0.075071  3.54334 -0.95717  -0.00639834 -0.0750182  3.35765 -0.984525  
12.2836 0.00692744 -0.074744  3.54176 -0.952952  -0.00634853 -0.0747065  3.35827 -0.977743  
12.3465 0.00687577 -0.0744195  3.54021 -0.948794  -0.00629935 -0.0743971  3.35891 -0.970994  
12.4093 0.00682448 -0.0740975  3.5387 -0.944695  -0.00625078 -0.07409  3.35955 -0.964278  
12.4721 0.00677359 -0.073778  3.53722 -0.940655  -0.00620281 -0.0737853  3.3602 -0.957595  
12.535 0.00672308 -0.0734609  3.53577 -0.936671  -0.00615544 -0.0734829  3.36087 -0.950945  
12.5978 0.00666779 -0.07315  3.53542 -0.932238  -0.00611055 -0.0731712  3.36224 -0.946376  
12.6606 0.00661313 -0.0728414  3.53508 -0.927847  -0.00606605 -0.0728619  3.36359 -0.941851  
12.7235 0.00655908 -0.0725353  3.53475 -0.923496  -0.00602193 -0.072555  3.36493 -0.937368  
12.7863 0.00650564 -0.0722314  3.53442 -0.919185  -0.00597821 -0.0722504  3.36624 -0.932927  
12.8491 0.0064528 -0.0719299  3.53409 -0.914914  -0.00593487 -0.0719482  3.36754 -0.928528  
12.9119 0.00640055 -0.0716307  3.53377 -0.910682  -0.00589191 -0.0716483  3.36881 -0.92417  
12.9748 0.00634889 -0.0713337  3.53345 -0.906489  -0.00584933 -0.0713507  3.37007 -0.919852  
13.0376 0.0062978 -0.071039  3.53314 -0.902334  -0.00580712 -0.0710554  3.37131 -0.915573  
13.1004 0.00624728 -0.0707465  3.53284 -0.898216  -0.00576529 -0.0707623  3.37253 -0.911334  
13.1633 0.00619732 -0.0704562  3.53253 -0.894136  -0.00572384 -0.0704714  3.37373 -0.907134  
13.2261 0.00614792 -0.0701681  3.53223 -0.890092  -0.00568275 -0.0701827  3.37492 -0.902972  
13.2889 0.00609906 -0.0698821  3.53194 -0.886084  -0.00564203 -0.0698962  3.37609 -0.898847  
13.3518 0.00605074 -0.0695983  3.53165 -0.882111  -0.00560168 -0.0696118  3.37724 -0.89476  
13.4146 0.00600295 -0.0693166  3.53136 -0.878174  -0.00556168 -0.0693296  3.37838 -0.890709  
13.4774 0.00595569 -0.069037  3.53108 -0.874271  -0.00552205 -0.0690495  3.3795 -0.886694  
13.5403 0.00590895 -0.0687594  3.5308 -0.870403  -0.00548277 -0.0687714  3.38061 -0.882715  
13.6031 0.00586272 -0.0684839  3.53053 -0.866568  -0.00544384 -0.0684955  3.3817 -0.878772  
13.6659 0.00581699 -0.0682104  3.53026 -0.862767  -0.00540527 -0.0682215  3.38278 -0.874863  
13.7288 0.00577176 -0.067939  3.52999 -0.858998  -0.00536704 -0.0679496  3.38384 -0.870988  
13.7916 0.00572702 -0.0676695  3.52973 -0.855262  -0.00532916 -0.0676797  3.38488 -0.867147  
13.8544 0.00568277 -0.067402  3.52947 -0.851559  -0.00529162 -0.0674118  3.38591 -0.86334  
13.9173 0.005639 -0.0671364  3.52921 -0.847886  -0.00525441 -0.0671459  3.38693 -0.859566  
13.9801 0.00559569 -0.0668728  3.52896 -0.844245  -0.00521755 -0.0668818  3.38794 -0.855824  
14.0429 0.00555286 -0.0666111  3.52871 -0.840635  -0.00518102 -0.0666198  3.38893 -0.852114  
14.1058 0.00551048 -0.0663513  3.52847 -0.837056  -0.00514482 -0.0663596  3.38991 -0.848436  
14.1686 0.00546855 -0.0660933  3.52822 -0.833506  -0.00510894 -0.0661013  3.39087 -0.84479  
14.2314 0.00542708 -0.0658372  3.52798 -0.829986  -0.00507339 -0.0658449  3.39182 -0.841174  
14.2942 0.00538605 -0.065583  3.52775 -0.826496  -0.00503816 -0.0655903  3.39276 -0.837589  
14.3571 0.00534545 -0.0653306  3.52751 -0.823034  -0.00500325 -0.0653375  3.39369 -0.834035  
14.4199 0.00530528 -0.0650799  3.52728 -0.819602  -0.00496866 -0.0650866  3.39461 -0.83051  
14.4827 0.00526554 -0.0648311  3.52706 -0.816197  -0.00493438 -0.0648375  3.39551 -0.827014  
14.5456 0.00522622 -0.064584  3.52683 -0.81282  -0.00490041 -0.0645901  3.3964 -0.823548  
14.6084 0.00518731 -0.0643387  3.52661 -0.809471  -0.00486675 -0.0643445  3.39728 -0.82011  
14.6712 0.00514881 -0.0640951  3.52639 -0.80615  -0.00483339 -0.0641006  3.39815 -0.8167  
14.7341 0.00511071 -0.0638532  3.52618 -0.802855  -0.00480034 -0.0638585  3.39901 -0.813319  
14.7969 0.00507301 -0.0636131  3.52596 -0.799587  -0.00476758 -0.0636181  3.39985 -0.809965  
14.8597 0.00503571 -0.0633746  3.52575 -0.796345  -0.00473512 -0.0633793  3.40069 -0.806639  
14.9226 0.00499879 -0.0631378  3.52555 -0.793129  -0.00470295 -0.0631423  3.40152 -0.803339  
14.9854 0.00496226 -0.0629026  3.52534 -0.789939  -0.00467107 -0.0629069  3.40233 -0.800067  
15.0482 0.0049261 -0.0626691  3.52514 -0.786774  -0.00463949 -0.0626731  3.40314 -0.79682  
15.1111 0.00489032 -0.0624372  3.52494 -0.783634  -0.00460818 -0.062441  3.40393 -0.7936  
15.1739 0.0048549 -0.0622068  3.52474 -0.780519  -0.00457716 -0.0622105  3.40472 -0.790405  
15.2367 0.00481985 -0.0619781  3.52455 -0.777429  -0.00454641 -0.0619816  3.40549 -0.787236  
15.2996 0.00478516 -0.061751  3.52435 -0.774362  -0.00451595 -0.0617542  3.40626 -0.784092  
15.3624 0.00475082 -0.0615254  3.52416 -0.77132  -0.00448575 -0.0615284  3.40702 -0.780973  
15.4252 0.00471683 -0.0613013  3.52398 -0.768301  -0.00445583 -0.0613042  3.40776 -0.777878  
15.4881 0.00468319 -0.0610788  3.52379 -0.765306  -0.00442618 -0.0610815  3.4085 -0.774808  
15.5509 0.00464988 -0.0608578  3.52361 -0.762333  -0.00439679 -0.0608603  3.40923 -0.771761  
15.6137 0.00461692 -0.0606383  3.52342 -0.759384  -0.00436767 -0.0606407  3.40995 -0.768739  
15.6765 0.00458429 -0.0604203  3.52325 -0.756457  -0.0043388 -0.0604225  3.41066 -0.765739  
15.7394 0.00455198 -0.0602038  3.52307 -0.753553  -0.0043102 -0.0602058  3.41137 -0.762763  
15.8022 0.00452 -0.0599887  3.52289 -0.75067  -0.00428185 -0.0599906  3.41206 -0.75981  
15.865 0.00448834 -0.0597751  3.52272 -0.747809  -0.00425375 -0.0597768  3.41275 -0.756879  
15.9279 0.004457 -0.0595629  3.52255 -0.74497  -0.00422591 -0.0595644  3.41343 -0.753971  
15.9907 0.00442597 -0.0593521  3.52238 -0.742153  -0.00419831 -0.0593535  3.4141 -0.751085  
16.0535 0.00439525 -0.0591427  3.52222 -0.739356  -0.00417095 -0.059144  3.41476 -0.748221  
16.1164 0.00436483 -0.0589347  3.52205 -0.73658  -0.00414384 -0.0589359  3.41542 -0.745378  
16.1792 0.00433471 -0.0587281  3.52189 -0.733825  -0.00411697 -0.0587292  3.41606 -0.742557  
16.242 0.00430489 -0.0585229  3.52173 -0.73109  -0.00409034 -0.0585238  3.4167 -0.739757  
16.3049 0.00427536 -0.058319  3.52157 -0.728376  -0.00406394 -0.0583198  3.41734 -0.736978  
