11.65530874482 0.007465815254086 -0.07813171064953   -0.006876292620359 -0.07793585126955   
11.71814059789 0.007410197917093 -0.07778090215442   -0.006820436092853 -0.07760136893885   
11.78097245096 0.007354977460553 -0.0774328330378   -0.006765289904101 -0.07726953719732   
11.84380430403 0.007300153268384 -0.07708747879448   -0.006710844404172 -0.07694032313452   
11.90663615711 0.007245725086982 -0.07674481501248   -0.006657089861466 -0.07661369440011   
11.96946801018 0.007191692476673 -0.07640481750691   -0.006604016589625 -0.07628961924326   
12.03229986325 0.007138054724755 -0.07606746214207   -0.006551614974571 -0.07596806644544   
12.09513171632 0.007084811372045 -0.07573272496515   -0.006499875388297 -0.07564900534601   
12.15796356939 0.007031961640041 -0.07540058224282   -0.006448788287554 -0.07533240584488   
12.22079542246 0.006979504739541 -0.07507101023508   -0.006398344178305 -0.07501823833212   
12.28362727554 0.006927439892423 -0.07474398549436   -0.006348533630291 -0.07470647374965   
12.34645912861 0.006875766165782 -0.07441948471811   -0.006299347269646 -0.07439708354882   
12.40929098168 0.00682448259096 -0.07409748461784   -0.006250775810861 -0.07409003964892   
12.47212283475 0.006773588125806 -0.07377796224291   -0.006202810062138 -0.07378531449655   
12.53495468782 0.006723081725126 -0.07346089474628   -0.006155440867706 -0.07348288100837   
12.5977865409 0.006672962217034 -0.07314625931865   -0.006108659200203 -0.07318271254708   
12.66061839397 0.006623228337535 -0.07283403349442   -0.006062456141947 -0.07288478296983   
12.72345024704 0.006573878928535 -0.07252419491897   -0.006016822799704 -0.07258906657635   
12.78628210011 0.006524912650736 -0.07221672127542   -0.005971750428179 -0.07229553808658   
12.84911395318 0.006476328028036 -0.0719115905735   -0.005927230416174 -0.0720041726794   
12.91194580625 0.006428123772992 -0.07160878098006   -0.00588325417061 -0.071714945956   
12.97477765933 0.006380298443326 -0.07130827068897   -0.005839813237627 -0.07142783391151   
13.0376095124 0.006332850363687 -0.07101003817513   -0.005796899332139 -0.0711428129629   
13.10044136547 0.006285778072068 -0.07071406213596   -0.005754504197111 -0.07085985993115   
13.16327321854 0.006239080082021 -0.07042032130591   -0.0057126196772 -0.07057895200945   
13.22610507161 0.006192754580028 -0.07012879462453   -0.005671237811078 -0.07030006677575   
13.28893692468 0.006146799866699 -0.06983946130158   -0.005630350707297 -0.07002318219037   
13.35176877776 0.006101214407546 -0.06955230063936   -0.005589950528633 -0.06974827656965   
13.41460063083 0.00605599636713 -0.06926729206827   -0.005550029619244 -0.06947532858288   
13.4774324839 0.006011143801563 -0.06898441527863   -0.005510580456978 -0.06920431725438   
13.54026433697 0.005966655024548 -0.06870365013563   -0.005471595559492 -0.06893522194871   
13.60309619004 0.005922528265568 -0.0684249766082   -0.005433067567814 -0.06866802236078   
13.66592804312 0.005878761462678 -0.06814837486145   -0.005394989296573 -0.06840269851294   
13.72875989619 0.005835352662897 -0.0678738252805   -0.005357353643391 -0.06813923074632   
13.79159174926 0.005792300085633 -0.06760130839589   -0.005320153573446 -0.06787759971425   
13.85442360233 0.00574960173688 -0.06733080488638   -0.005283382200349 -0.06761778637728   
13.9172554554 0.005707255458471 -0.06706229562723   -0.005247032776909 -0.06735977199198   
13.98008730847 0.005665259267785 -0.06679576167849   -0.00521109863008 -0.06710353810425   
14.04291916155 0.005623611245888 -0.06653118426152   -0.005175573179476 -0.0668490665503   
14.10575101462 0.005582309258642 -0.0662685447665   -0.005140449983858 -0.06659633944828   
14.16858286769 0.005541351099993 -0.06600782475493   -0.005105722718804 -0.06634533918301   
14.23141472076 0.005500734718746 -0.0657490059611   -0.005071385143469 -0.06609604840457   
14.29424657383 0.005460458075424 -0.06549207030426   -0.005037431117612 -0.0658484500327   
14.35707842691 0.005420518962989 -0.06523699987482   -0.005003854620234 -0.06560252724476   
14.41991027998 0.005380915137161 -0.06498377690858   -0.00497064973691 -0.06535826345951   
14.48274213305 0.005341644462999 -0.06473238380968   -0.004937810648718 -0.065115642339   
14.54557398612 0.005302704811114 -0.06448280318635   -0.00490533163588 -0.06487464779474   
14.60840583919 0.005264093941319 -0.06423501781947   -0.004873207077523 -0.064635263975   
14.67123769226 0.005225809580413 -0.06398901061391   -0.004841431451421 -0.06439747524783   
14.73406954534 0.005187849515347 -0.06374476463142   -0.004809999340509 -0.06416126620308   
14.79690139841 0.005150211546082 -0.06350226314941   -0.004778905426109 -0.06392662166029   
14.85973325148 0.005112893418297 -0.06326148962969   -0.004748144470984 -0.06369352665881   
14.92256510455 0.005075892848921 -0.06302242764589   -0.004717711323747 -0.06346196643995   
14.98539695762 0.005039207569431 -0.06278506090339   -0.004687600941556 -0.06323192644562   
15.0482288107 0.005002835317869 -0.06254937332001   -0.004657808385946 -0.06300339232761   
15.11106066377 0.004966773824166 -0.06231534902115   -0.004628328790585 -0.06277634994319   
15.17389251684 0.004931020815133 -0.06208297225145   -0.00459915735536 -0.06255078533807   
15.23672436991 0.004895574005838 -0.06185222735485   -0.004570289379964 -0.06232668473945   
15.29955622298 0.004860431088296 -0.06162309885847   -0.004541720277844 -0.06210403456358   
15.36238807605 0.004825589759504 -0.06139557151701   -0.004513445540658 -0.06188282141818   
15.42521992913 0.004791047753563 -0.0611696302398   -0.004485460708979 -0.06166303208984   
15.4880517822 0.00475680281081 -0.06094526001901   -0.004457761397495 -0.06144465353196   
15.55088363527 0.00472285262114 -0.06072244597515   -0.004430343333533 -0.06122767286652   
15.61371548834 0.004689194843126 -0.06050117344439   -0.004403202343092 -0.0610120773905   
15.67654734141 0.004655827184501 -0.06028142796627   -0.0043763343028 -0.06079785457136   
15.73937919448 0.004622747415598 -0.06006319519051   -0.004349735132217 -0.06058499203444   
15.80221104756 0.004589953283304 -0.05984646084681   -0.00432340083679 -0.06037347755716   
15.86504290063 0.004557442455163 -0.05963121082074   -0.004297327533513 -0.06016329907326   
15.9278747537 0.004525212589109 -0.05941743121689   -0.004271511417974 -0.05995444467535   
15.99070660677 0.004493261431324 -0.05920510831379   -0.004245948720237 -0.05974690260815   
16.05353845984 0.004461586792382 -0.05899422847876   -0.004220635713926 -0.05954066125883   
16.11637031292 0.004430186431164 -0.05878477816556   -0.004195568761851 -0.05933570915445   
16.17920216599 0.00439905801627 -0.05857674399317   -0.004170744330396 -0.0591320349654   
16.24203401906 0.004368199226758 -0.05837011278911   -0.004146158950455 -0.05892962750558   
16.30486587213 0.004337607850937 -0.05816487153713   -0.004121809180374 -0.05872847572618   
16.3676977252 0.00430728174238 -0.05796100730427   -0.004097691620178 -0.05852856870872   
16.43052957827 0.004277218693178 -0.05775850724574   -0.004073802953753 -0.05832989566341   
16.49336143135 0.004247416399774 -0.0575573586748   -0.004050139959413 -0.05813244593099   
16.55619328442 0.004217872569635 -0.05735754909954   -0.004026699474928 -0.05793620898215   
16.61902513749 0.004188585025523 -0.0571590661791   -0.004003478363477 -0.05774117441273   
16.68185699056 0.004159551668387 -0.05696189765974   -0.003980473523637 -0.0575473319387   
16.74468884363 0.004130770349636 -0.05676603137188   -0.0039576819261 -0.05735467139438   
16.80752069671 0.004102238820544 -0.05657145528575   -0.003935100627326 -0.05716318273297   
16.87035254978 0.004073954821942 -0.05637815755017   -0.003912726744173 -0.05697285602571   
16.93318440285 0.004045916198981 -0.05618612646693   -0.003890557421374 -0.05678368145853   
16.99601625592 0.004018120896321 -0.05599535043586   -0.003868589831784 -0.05659564932849   
