7.94823 0.00983444 -0.120994  2.10374 -0.216291  -0.00996866 -0.121115  0.90403 -0.206612  
8.01106 0.00970328 -0.120102  2.1028 -0.215391  -0.00983754 -0.120234  0.904975 -0.204855  
8.07389 0.00957472 -0.119224  2.10187 -0.214505  -0.00970869 -0.119366  0.905891 -0.20312  
8.13672 0.00944869 -0.118357  2.10095 -0.21363  -0.00958205 -0.11851  0.90678 -0.201408  
8.19956 0.00932514 -0.117504  2.10004 -0.212766  -0.00945757 -0.117665  0.90764 -0.19972  
8.26239 0.00920401 -0.116662  2.09913 -0.211913  -0.00933522 -0.116832  0.908473 -0.198056  
8.32522 0.00908525 -0.115832  2.09823 -0.211068  -0.00921493 -0.116011  0.90928 -0.196415  
8.38805 0.00896879 -0.115013  2.09734 -0.210232  -0.00909668 -0.1152  0.91006 -0.194799  
8.45088 0.00885458 -0.114206  2.09646 -0.209403  -0.00898041 -0.114401  0.910815 -0.193206  
8.51372 0.00874257 -0.113409  2.09558 -0.20858  -0.00886609 -0.113612  0.911544 -0.191639  
8.57655 0.00863271 -0.112624  2.09471 -0.207763  -0.00875368 -0.112833  0.912249 -0.190096  
8.63938 0.00852495 -0.111849  2.09384 -0.206951  -0.00864313 -0.112065  0.912929 -0.188578  
8.70221 0.00841923 -0.111085  2.09298 -0.206142  -0.00853441 -0.111307  0.913585 -0.187085  
8.76504 0.00831551 -0.110331  2.09212 -0.205336  -0.00842749 -0.110558  0.914218 -0.185617  
8.82788 0.00821375 -0.109587  2.09127 -0.204533  -0.00832232 -0.109819  0.914829 -0.184175  
8.89071 0.00811389 -0.108853  2.09042 -0.203732  -0.00821887 -0.10909  0.915416 -0.182757  
8.95354 0.00801589 -0.108129  2.08958 -0.202932  -0.00811712 -0.10837  0.915982 -0.181365  
9.01637 0.00791972 -0.107414  2.08874 -0.202132  -0.00801702 -0.107659  0.916527 -0.179997  
9.0792 0.00782532 -0.106709  2.08791 -0.201332  -0.00791854 -0.106957  0.91705 -0.178655  
9.14203 0.00773265 -0.106012  2.08708 -0.200532  -0.00782166 -0.106264  0.917554 -0.177338  
9.20487 0.00764167 -0.105325  2.08625 -0.19973  -0.00772634 -0.10558  0.918037 -0.176046  
9.2677 0.00755236 -0.104646  2.08543 -0.198926  -0.00763255 -0.104903  0.918501 -0.174778  
9.33053 0.00746465 -0.103976  2.08461 -0.198121  -0.00754027 -0.104236  0.918946 -0.173536  
9.39336 0.00737853 -0.103315  2.08379 -0.197313  -0.00744947 -0.103576  0.919373 -0.172318  
9.45619 0.00729395 -0.102662  2.08297 -0.196501  -0.00736011 -0.102924  0.919781 -0.171125  
9.51903 0.00721087 -0.102017  2.08216 -0.195687  -0.00727217 -0.10228  0.920172 -0.169956  
9.58186 0.00712927 -0.10138  2.08135 -0.194868  -0.00718563 -0.101644  0.920546 -0.168812  
9.64469 0.0070491 -0.100751  2.08055 -0.194046  -0.00710046 -0.101016  0.920904 -0.167691  
9.70752 0.00697034 -0.10013  2.07974 -0.193219  -0.00701664 -0.100395  0.921245 -0.166595  
9.77035 0.00689295 -0.0995162  2.07894 -0.192387  -0.00693413 -0.0997808  0.921571 -0.165522  
9.83319 0.00681691 -0.0989101  2.07814 -0.191551  -0.00685292 -0.0991742  0.921882 -0.164472  
9.89602 0.00674217 -0.0983113  2.07735 -0.190709  -0.00677298 -0.0985747  0.922177 -0.163446  
9.95885 0.00666872 -0.0977197  2.07655 -0.189862  -0.0066943 -0.0979821  0.922459 -0.162442  
