14.4199 -1.4302e-05 -0.0626007  4.50369 -1.30486  
14.4827 -1.40751e-05 -0.0623793  4.50365 -1.2996  
14.5456 -1.38525e-05 -0.0621593  4.50362 -1.29438  
14.6084 -1.36342e-05 -0.0619406  4.50359 -1.2892  
14.6712 -1.342e-05 -0.0617233  4.50356 -1.28406  
14.7341 -1.321e-05 -0.0615074  4.50353 -1.27897  
14.7969 -1.30039e-05 -0.0612928  4.5035 -1.27391  
14.8597 -1.28017e-05 -0.0610795  4.50347 -1.2689  
14.9226 -1.26033e-05 -0.0608675  4.50344 -1.26392  
14.9854 -1.24087e-05 -0.0606568  4.50341 -1.25898  
15.0482 -1.22176e-05 -0.0604475  4.50338 -1.25409  
15.1111 -1.20302e-05 -0.0602394  4.50335 -1.24922  
15.1739 -1.18462e-05 -0.0600326  4.50332 -1.2444  
15.2367 -1.16657e-05 -0.059827  4.50329 -1.23961  
15.2996 -1.14884e-05 -0.0596227  4.50326 -1.23487  
15.3624 -1.13145e-05 -0.0594197  4.50324 -1.23015  
15.4252 -1.11437e-05 -0.0592179  4.50321 -1.22547  
15.4881 -1.0976e-05 -0.0590173  4.50318 -1.22083  
15.5509 -1.08114e-05 -0.0588179  4.50315 -1.21622  
15.6137 -1.06498e-05 -0.0586197  4.50313 -1.21165  
15.6765 -1.04912e-05 -0.0584228  4.5031 -1.20711  
15.7394 -1.03353e-05 -0.058227  4.50308 -1.20261  
15.8022 -1.01823e-05 -0.0580324  4.50305 -1.19814  
15.865 -1.00321e-05 -0.057839  4.50303 -1.1937  
15.9279 -9.88449e-06 -0.0576467  4.503 -1.1893  
15.9907 -9.73954e-06 -0.0574556  4.50298 -1.18492  
16.0535 -9.59717e-06 -0.0572656  4.50295 -1.18058  
16.1164 -9.45732e-06 -0.0570768  4.50293 -1.17627  
16.1792 -9.31994e-06 -0.0568891  4.50291 -1.172  
16.242 -9.18498e-06 -0.0567025  4.50288 -1.16775  
16.3049 -9.05238e-06 -0.056517  4.50286 -1.16353  
16.3677 -8.92211e-06 -0.0563326  4.50284 -1.15935  
16.4305 -8.79411e-06 -0.0561493  4.50281 -1.15519  
16.4934 -8.66833e-06 -0.0559671  4.50279 -1.15107  
16.5562 -8.54473e-06 -0.0557859  4.50277 -1.14697  
16.619 -8.42327e-06 -0.0556059  4.50275 -1.1429  
16.6819 -8.3039e-06 -0.0554269  4.50273 -1.13887  
16.7447 -8.18658e-06 -0.0552489  4.5027 -1.13486  
16.8075 -8.07127e-06 -0.055072  4.50268 -1.13087  
16.8704 -7.95793e-06 -0.0548961  4.50266 -1.12692  
16.9332 -7.84651e-06 -0.0547212  4.50264 -1.12299  
16.996 -7.73699e-06 -0.0545474  4.50262 -1.11909  
17.0588 -7.62932e-06 -0.0543745  4.5026 -1.11522  
17.1217 -7.52346e-06 -0.0542027  4.50258 -1.11137  
17.1845 -7.41939e-06 -0.0540318  4.50256 -1.10756  
17.2473 -7.31705e-06 -0.053862  4.50254 -1.10376  
17.3102 -7.21643e-06 -0.0536931  4.50252 -1.1  
17.373 -7.11749e-06 -0.0535252  4.5025 -1.09625  
17.4358 -7.02019e-06 -0.0533583  4.50249 -1.09254  
17.4987 -6.9245e-06 -0.0531923  4.50247 -1.08885  
17.5615 -6.83039e-06 -0.0530272  4.50245 -1.08518  
17.6243 -6.73783e-06 -0.0528631  4.50243 -1.08154  
17.6872 -6.64679e-06 -0.0527  4.50241 -1.07792  
17.75 -6.55724e-06 -0.0525377  4.50239 -1.07433  
17.8128 -6.46915e-06 -0.0523764  4.50238 -1.07076  
17.8757 -6.3825e-06 -0.052216  4.50236 -1.06721  
17.9385 -6.29725e-06 -0.0520565  4.50234 -1.06369  
18.0013 -6.21338e-06 -0.0518979  4.50232 -1.06019  
18.0642 -6.13086e-06 -0.0517402  4.50231 -1.05672  
18.127 -6.04967e-06 -0.0515834  4.50229 -1.05326  
18.1898 -5.96979e-06 -0.0514275  4.50227 -1.04983  
18.2527 -5.89118e-06 -0.0512724  4.50226 -1.04642  
18.3155 -5.81382e-06 -0.0511182  4.50224 -1.04304  
18.3783 -5.7377e-06 -0.0509649  4.50223 -1.03967  
18.4411 -5.66278e-06 -0.0508124  4.50221 -1.03633  
18.504 -5.58905e-06 -0.0506608  4.50219 -1.03301  
18.5668 -5.51648e-06 -0.05051  4.50218 -1.02971  
18.6296 -5.44505e-06 -0.05036  4.50216 -1.02643  
18.6925 -5.37474e-06 -0.0502109  4.50215 -1.02317  
18.7553 -5.30553e-06 -0.0500625  4.50213 -1.01993  
18.8181 -5.2374e-06 -0.049915  4.50212 -1.01671  
18.881 -5.17033e-06 -0.0497683  4.5021 -1.01352  
18.9438 -5.1043e-06 -0.0496224  4.50209 -1.01034  
19.0066 -5.03929e-06 -0.0494773  4.50207 -1.00718  
19.0695 -4.97528e-06 -0.049333  4.50206 -1.00404  
19.1323 -4.91226e-06 -0.0491895  4.50204 -1.00092  
19.1951 -4.8502e-06 -0.0490468  4.50203 -0.997826  
19.258 -4.78909e-06 -0.0489048  4.50202 -0.994746  
19.3208 -4.72891e-06 -0.0487636  4.502 -0.991685  
19.3836 -4.66965e-06 -0.0486232  4.50199 -0.988643  
19.4465 -4.61129e-06 -0.0484835  4.50197 -0.985619  
19.5093 -4.55381e-06 -0.0483445  4.50196 -0.982614  
19.5721 -4.4972e-06 -0.0482064  4.50195 -0.979628  
19.635 -4.44143e-06 -0.0480689  4.50193 -0.976659  
19.6978 -4.38651e-06 -0.0479322  4.50192 -0.973708  
19.7606 -4.33241e-06 -0.0477962  4.50191 -0.970775  
19.8234 -4.27911e-06 -0.0476609  4.5019 -0.96786  
19.8863 -4.22661e-06 -0.0475264  4.50188 -0.964962  
19.9491 -4.17489e-06 -0.0473925  4.50187 -0.962082  
20.0119 -4.12393e-06 -0.0472594  4.50186 -0.959218  
20.0748 -4.07372e-06 -0.047127  4.50185 -0.956372  
20.1376 -4.02426e-06 -0.0469953  4.50183 -0.953542  
20.2004 -3.97552e-06 -0.0468642  4.50182 -0.950729  
20.2633 -3.92749e-06 -0.0467339  4.50181 -0.947933  
20.3261 -3.88017e-06 -0.0466042  4.5018 -0.945153  
20.3889 -3.83353e-06 -0.0464752  4.50179 -0.942389  
20.4518 -3.78758e-06 -0.0463469  4.50177 -0.939642  
20.5146 -3.74229e-06 -0.0462192  4.50176 -0.93691  
20.5774 -3.69765e-06 -0.0460922  4.50175 -0.934195  
20.6403 -3.65366e-06 -0.0459659  4.50174 -0.931494  
20.7031 -3.6103e-06 -0.0458402  4.50173 -0.92881  
20.7659 -3.56756e-06 -0.0457152  4.50172 -0.926141  
20.8288 -3.52543e-06 -0.0455908  4.50171 -0.923487  
20.8916 -3.48391e-06 -0.045467  4.5017 -0.920849  
20.9544 -3.44297e-06 -0.0453439  4.50168 -0.918225  
21.0173 -3.40262e-06 -0.0452214  4.50167 -0.915616  
21.0801 -3.36284e-06 -0.0450996  4.50166 -0.913022  
21.1429 -3.32362e-06 -0.0449783  4.50165 -0.910443  
21.2058 -3.28495e-06 -0.0448577  4.50164 -0.907879  
21.2686 -3.24683e-06 -0.0447377  4.50163 -0.905328  
21.3314 -3.20924e-06 -0.0446183  4.50162 -0.902792  
21.3942 -3.17217e-06 -0.0444995  4.50161 -0.90027  
21.4571 -3.13563e-06 -0.0443813  4.5016 -0.897763  
21.5199 -3.09959e-06 -0.0442636  4.50159 -0.895269  
21.5827 -3.06405e-06 -0.0441466  4.50158 -0.892789  
21.6456 -3.029e-06 -0.0440302  4.50157 -0.890322  
21.7084 -2.99444e-06 -0.0439143  4.50156 -0.88787  
21.7712 -2.96036e-06 -0.043799  4.50155 -0.88543  
21.8341 -2.92674e-06 -0.0436843  4.50154 -0.883005  
21.8969 -2.89358e-06 -0.0435702  4.50153 -0.880592  
21.9597 -2.86088e-06 -0.0434566  4.50152 -0.878192  
22.0226 -2.82862e-06 -0.0433436  4.50151 -0.875806  
22.0854 -2.7968e-06 -0.0432312  4.5015 -0.873432  
22.1482 -2.76541e-06 -0.0431193  4.5015 -0.871072  
22.2111 -2.73445e-06 -0.043008  4.50149 -0.868724  
22.2739 -2.70391e-06 -0.0428972  4.50148 -0.866388  
22.3367 -2.67377e-06 -0.0427869  4.50147 -0.864066  
22.3996 -2.64405e-06 -0.0426772  4.50146 -0.861755  
22.4624 -2.61472e-06 -0.042568  4.50145 -0.859457  
22.5252 -2.58578e-06 -0.0424593  4.50144 -0.857171  
22.5881 -2.55723e-06 -0.0423512  4.50143 -0.854898  
22.6509 -2.52906e-06 -0.0422436  4.50142 -0.852636  
22.7137 -2.50126e-06 -0.0421366  4.50142 -0.850386  
22.7765 -2.47383e-06 -0.04203  4.50141 -0.848148  
22.8394 -2.44677e-06 -0.0419239  4.5014 -0.845922  
22.9022 -2.42006e-06 -0.0418184  4.50139 -0.843708  
22.965 -2.3937e-06 -0.0417134  4.50138 -0.841505  
23.0279 -2.36769e-06 -0.0416088  4.50137 -0.839313  
23.0907 -2.34202e-06 -0.0415048  4.50137 -0.837133  
23.1535 -2.31668e-06 -0.0414013  4.50136 -0.834964  
23.2164 -2.29167e-06 -0.0412982  4.50135 -0.832807  
23.2792 -2.26699e-06 -0.0411957  4.50134 -0.83066  
23.342 -2.24263e-06 -0.0410936  4.50133 -0.828525  
23.4049 -2.21859e-06 -0.0409921  4.50133 -0.8264  
23.4677 -2.19485e-06 -0.040891  4.50132 -0.824287  
23.5305 -2.17142e-06 -0.0407903  4.50131 -0.822184  
23.5934 -2.14829e-06 -0.0406902  4.5013 -0.820092  
23.6562 -2.12546e-06 -0.0405905  4.5013 -0.81801  
23.719 -2.10292e-06 -0.0404913  4.50129 -0.815939  
23.7819 -2.08067e-06 -0.0403925  4.50128 -0.813879  
23.8447 -2.0587e-06 -0.0402942  4.50127 -0.811829  
23.9075 -2.03701e-06 -0.0401964  4.50127 -0.809789  
23.9704 -2.01559e-06 -0.040099  4.50126 -0.807759  
24.0332 -1.99445e-06 -0.0400021  4.50125 -0.80574  
24.096 -1.97357e-06 -0.0399056  4.50125 -0.803731  
24.1588 -1.95296e-06 -0.0398096  4.50124 -0.801731  
24.2217 -1.9326e-06 -0.039714  4.50123 -0.799742  
24.2845 -1.9125e-06 -0.0396188  4.50122 -0.797762  
24.3473 -1.89265e-06 -0.0395241  4.50122 -0.795792  
24.4102 -1.87305e-06 -0.0394299  4.50121 -0.793832  
24.473 -1.85369e-06 -0.039336  4.5012 -0.791882  
24.5358 -1.83457e-06 -0.0392426  4.5012 -0.789941  
24.5987 -1.81569e-06 -0.0391496  4.50119 -0.788009  
24.6615 -1.79704e-06 -0.039057  4.50118 -0.786087  
24.7243 -1.77863e-06 -0.0389649  4.50118 -0.784175  
24.7872 -1.76043e-06 -0.0388731  4.50117 -0.782271  
24.85 -1.74247e-06 -0.0387818  4.50116 -0.780377  
24.9128 -1.72472e-06 -0.0386909  4.50116 -0.778492  
24.9757 -1.70719e-06 -0.0386004  4.50115 -0.776616  
25.0385 -1.68987e-06 -0.0385103  4.50114 -0.774749  
25.1013 -1.67277e-06 -0.0384206  4.50114 -0.772891  
25.1642 -1.65587e-06 -0.0383313  4.50113 -0.771042  
25.227 -1.63918e-06 -0.0382425  4.50113 -0.769202  
25.2898 -1.62268e-06 -0.038154  4.50112 -0.767371  
25.3527 -1.60639e-06 -0.0380659  4.50111 -0.765548  
25.4155 -1.5903e-06 -0.0379782  4.50111 -0.763734  
25.4783 -1.57439e-06 -0.0378908  4.5011 -0.761928  
25.5411 -1.55868e-06 -0.0378039  4.5011 -0.760131  
25.604 -1.54316e-06 -0.0377174  4.50109 -0.758342  
25.6668 -1.52782e-06 -0.0376312  4.50108 -0.756562  
25.7296 -1.51266e-06 -0.0375454  4.50108 -0.75479  
25.7925 -1.49769e-06 -0.03746  4.50107 -0.753027  
25.8553 -1.48289e-06 -0.037375  4.50107 -0.751271  
25.9181 -1.46827e-06 -0.0372903  4.50106 -0.749524  
25.981 -1.45382e-06 -0.037206  4.50105 -0.747785  
26.0438 -1.43954e-06 -0.0371221  4.50105 -0.746054  
26.1066 -1.42542e-06 -0.0370385  4.50104 -0.744331  
26.1695 -1.41148e-06 -0.0369553  4.50104 -0.742616  
26.2323 -1.39769e-06 -0.0368725  4.50103 -0.740909  
26.2951 -1.38407e-06 -0.03679  4.50103 -0.73921  
26.358 -1.37061e-06 -0.0367079  4.50102 -0.737518  
26.4208 -1.3573e-06 -0.0366261  4.50102 -0.735834  
26.4836 -1.34415e-06 -0.0365447  4.50101 -0.734158  
26.5465 -1.33115e-06 -0.0364636  4.50101 -0.732489  
26.6093 -1.3183e-06 -0.0363829  4.501 -0.730828  
26.6721 -1.3056e-06 -0.0363025  4.50099 -0.729175  
26.735 -1.29305e-06 -0.0362224  4.50099 -0.727529  
26.7978 -1.28064e-06 -0.0361427  4.50098 -0.72589  
26.8606 -1.26837e-06 -0.0360634  4.50098 -0.724259  
26.9234 -1.25624e-06 -0.0359844  4.50097 -0.722635  
26.9863 -1.24425e-06 -0.0359057  4.50097 -0.721018  
27.0491 -1.2324e-06 -0.0358273  4.50096 -0.719409  
27.1119 -1.22069e-06 -0.0357493  4.50096 -0.717807  
27.1748 -1.2091e-06 -0.0356716  4.50095 -0.716211  
27.2376 -1.19765e-06 -0.0355942  4.50095 -0.714623  
