0.0314159 0.000252313 -0.00195715  -59.2951 -502.554  
20.0748 9.22171e-06 -0.0460557  5.49562 -1.45424  
20.1376 9.1134e-06 -0.0459331  5.49565 -1.44986  
20.2004 9.00664e-06 -0.0458111  5.49568 -1.4455  
20.2633 8.90139e-06 -0.0456896  5.4957 -1.44118  
20.3261 8.79762e-06 -0.0455688  5.49573 -1.43687  
20.3889 8.69533e-06 -0.0454485  5.49576 -1.4326  
20.4518 8.59448e-06 -0.0453288  5.49579 -1.42835  
20.5146 8.49504e-06 -0.0452096  5.49581 -1.42412  
20.5774 8.397e-06 -0.0450911  5.49584 -1.41992  
20.6403 8.30033e-06 -0.0449731  5.49587 -1.41575  
20.7031 8.205e-06 -0.0448556  5.49589 -1.4116  
20.7659 8.11101e-06 -0.0447388  5.49592 -1.40747  
20.8288 8.01832e-06 -0.0446224  5.49594 -1.40337  
20.8916 7.92691e-06 -0.0445067  5.49597 -1.39929  
20.9544 7.83676e-06 -0.0443915  5.496 -1.39523  
21.0173 7.74786e-06 -0.0442768  5.49602 -1.3912  
21.0801 7.66018e-06 -0.0441626  5.49605 -1.38719  
21.1429 7.5737e-06 -0.044049  5.49607 -1.38321  
21.2058 7.48841e-06 -0.043936  5.49609 -1.37925  
21.2686 7.40428e-06 -0.0438235  5.49612 -1.37531  
21.3314 7.32129e-06 -0.0437114  5.49614 -1.37139  
21.3942 7.23943e-06 -0.0436  5.49617 -1.36749  
21.4571 7.15868e-06 -0.043489  5.49619 -1.36362  
21.5199 7.07902e-06 -0.0433786  5.49621 -1.35977  
21.5827 7.00044e-06 -0.0432687  5.49624 -1.35594  
21.6456 6.92291e-06 -0.0431592  5.49626 -1.35213  
21.7084 6.84643e-06 -0.0430503  5.49628 -1.34834  
21.7712 6.77096e-06 -0.0429419  5.4963 -1.34458  
21.8341 6.69651e-06 -0.042834  5.49633 -1.34083  
21.8969 6.62304e-06 -0.0427267  5.49635 -1.33711  
21.9597 6.55056e-06 -0.0426198  5.49637 -1.33341  
22.0226 6.47903e-06 -0.0425133  5.49639 -1.32972  
22.0854 6.40845e-06 -0.0424074  5.49641 -1.32606  
22.1482 6.3388e-06 -0.042302  5.49643 -1.32242  
22.2111 6.27007e-06 -0.0421971  5.49646 -1.3188  
22.2739 6.20224e-06 -0.0420926  5.49648 -1.31519  
22.3367 6.1353e-06 -0.0419886  5.4965 -1.31161  
22.3996 6.06924e-06 -0.0418851  5.49652 -1.30805  
22.4624 6.00403e-06 -0.0417821  5.49654 -1.3045  
22.5252 5.93968e-06 -0.0416795  5.49656 -1.30098  
22.5881 5.87616e-06 -0.0415774  5.49658 -1.29747  
22.6509 5.81347e-06 -0.0414757  5.4966 -1.29398  
22.7137 5.75158e-06 -0.0413746  5.49662 -1.29052  
22.7765 5.69049e-06 -0.0412738  5.49664 -1.28707  
22.8394 5.63019e-06 -0.0411736  5.49666 -1.28363  
22.9022 5.57066e-06 -0.0410738  5.49668 -1.28022  
22.965 5.5119e-06 -0.0409744  5.4967 -1.27683  
23.0279 5.45388e-06 -0.0408755  5.49672 -1.27345  
23.0907 5.3966e-06 -0.040777  5.49673 -1.27009  
23.1535 5.34006e-06 -0.040679  5.49675 -1.26675  
23.2164 5.28423e-06 -0.0405814  5.49677 -1.26342  
23.2792 5.2291e-06 -0.0404842  5.49679 -1.26012  
23.342 5.17468e-06 -0.0403875  5.49681 -1.25683  
23.4049 5.12094e-06 -0.0402912  5.49683 -1.25355  
23.4677 5.06787e-06 -0.0401953  5.49684 -1.2503  
23.5305 5.01547e-06 -0.0400999  5.49686 -1.24706  
23.5934 4.96373e-06 -0.0400049  5.49688 -1.24384  
23.6562 4.91263e-06 -0.0399103  5.4969 -1.24063  
23.719 4.86217e-06 -0.0398161  5.49691 -1.23744  
23.7819 4.81234e-06 -0.0397223  5.49693 -1.23427  
23.8447 4.76312e-06 -0.039629  5.49695 -1.23111  
23.9075 4.71452e-06 -0.039536  5.49697 -1.22797  
23.9704 4.66651e-06 -0.0394435  5.49698 -1.22485  
24.0332 4.6191e-06 -0.0393514  5.497 -1.22174  
24.096 4.57227e-06 -0.0392596  5.49702 -1.21865  
24.1588 4.52601e-06 -0.0391683  5.49703 -1.21557  
24.2217 4.48032e-06 -0.0390774  5.49705 -1.21251  
