10.3201 0.0194286 -0.110268  -1.0498 1.52481  
10.3515 0.0195379 -0.110065  -1.06354 1.54405  
10.383 0.0196442 -0.109867  -1.07703 1.56347  
10.4144 0.0197476 -0.109672  -1.09028 1.58305  
10.4458 0.0198479 -0.10948  -1.10327 1.60281  
10.4772 0.0199452 -0.109291  -1.11602 1.62272  
10.5086 0.0200396 -0.109106  -1.1285 1.64277  
10.54 0.0201309 -0.108924  -1.14074 1.66297  
10.5715 0.0202192 -0.108744  -1.15271 1.68331  
10.6029 0.0203045 -0.108568  -1.16442 1.70377  
10.6343 0.0203868 -0.108394  -1.17588 1.72436  
10.6657 0.020466 -0.108224  -1.18707 1.74507  
10.6971 0.0205423 -0.108056  -1.19801 1.76588  
10.7285 0.0206155 -0.10789  -1.20868 1.7868  
10.76 0.0206858 -0.107728  -1.21909 1.80782  
10.7914 0.020753 -0.107567  -1.22923 1.82892  
10.8228 0.0208173 -0.107409  -1.23912 1.85012  
10.8542 0.0208786 -0.107254  -1.24874 1.87139  
10.8856 0.0209369 -0.107101  -1.2581 1.89274  
10.917 0.0209923 -0.10695  -1.2672 1.91416  
10.9485 0.0210447 -0.106801  -1.27604 1.93564  
10.9799 0.0210942 -0.106654  -1.28462 1.95718  
11.0113 0.0211407 -0.10651  -1.29294 1.97877  
11.0427 0.0211844 -0.106367  -1.301 2.00041  
11.0741 0.0212252 -0.106226  -1.3088 2.02209  
11.1055 0.0212631 -0.106087  -1.31635 2.04381  
11.1369 0.0212982 -0.10595  -1.32364 2.06557  
11.1684 0.0213304 -0.105815  -1.33068 2.08736  
11.1998 0.0213599 -0.105681  -1.33746 2.10917  
11.2312 0.0213865 -0.105549  -1.344 2.131  
11.2626 0.0214103 -0.105419  -1.35028 2.15284  
11.294 0.0214314 -0.10529  -1.35631 2.1747  
11.3254 0.0214498 -0.105162  -1.3621 2.19657  
11.3569 0.0214654 -0.105036  -1.36765 2.21844  
11.3883 0.0214784 -0.104912  -1.37295 2.24031  
11.4197 0.0214887 -0.104788  -1.37801 2.26218  
11.4511 0.0214963 -0.104666  -1.38283 2.28404  
11.4825 0.0215013 -0.104546  -1.38741 2.3059  
11.5139 0.0215037 -0.104426  -1.39176 2.32774  
11.5454 0.0215036 -0.104307  -1.39587 2.34956  
11.5768 0.0215009 -0.10419  -1.39975 2.37137  
11.6082 0.0214957 -0.104074  -1.4034 2.39315  
11.6396 0.0214879 -0.103958  -1.40682 2.41491  
11.671 0.0214777 -0.103844  -1.41002 2.43664  
11.7024 0.0214651 -0.103731  -1.41299 2.45834  
11.7338 0.02145 -0.103618  -1.41574 2.48001  
11.7653 0.0214326 -0.103506  -1.41828 2.50164  
11.7967 0.0214128 -0.103396  -1.42059 2.52324  
11.8281 0.0213906 -0.103286  -1.42269 2.54479  
11.8595 0.0213662 -0.103176  -1.42458 2.5663  
11.8909 0.0213394 -0.103068  -1.42625 2.58777  
11.9223 0.0213104 -0.10296  -1.42772 2.60919  
11.9538 0.0212792 -0.102852  -1.42898 2.63057  
11.9852 0.0212458 -0.102746  -1.43004 2.65189  
12.0166 0.0212102 -0.10264  -1.43089 2.67317  
12.048 0.0211724 -0.102534  -1.43154 2.69438  
12.0794 0.0211326 -0.102429  -1.432 2.71555  
12.1108 0.0210906 -0.102324  -1.43226 2.73666  
12.1423 0.0210466 -0.10222  -1.43233 2.75771  
12.1737 0.0210006 -0.102117  -1.4322 2.77869  
12.2051 0.0209525 -0.102013  -1.43189 2.79962  
12.2365 0.0209025 -0.10191  -1.43138 2.82049  
12.2679 0.0208506 -0.101808  -1.4307 2.84129  
12.2993 0.0207967 -0.101706  -1.42983 2.86203  
12.3308 0.0207409 -0.101604  -1.42877 2.88271  
12.3622 0.0206833 -0.101502  -1.42754 2.90331  
12.3936 0.0206238 -0.101401  -1.42614 2.92385  
12.425 0.0205626 -0.1013  -1.42455 2.94433  
12.4564 0.0204995 -0.101199  -1.4228 2.96473  
12.4878 0.0204347 -0.101098  -1.42087 2.98506  
12.5192 0.0203682 -0.100997  -1.41878 3.00532  
12.5507 0.0203 -0.100897  -1.41652 3.02551  
12.5821 0.0200713 -0.100611  -1.40694 3.02362  
12.6135 0.0198456 -0.100326  -1.39744 3.02173  
12.6449 0.0196229 -0.100042  -1.38801 3.01983  
12.6763 0.0194031 -0.099759  -1.37865 3.01794  
12.7077 0.0191864 -0.0994766  -1.36935 3.01604  
12.7392 0.0189724 -0.099195  -1.36013 3.01415  
12.7706 0.0187614 -0.0989143  -1.35098 3.01226  
12.802 0.0185531 -0.0986344  -1.34189 3.01036  
12.8334 0.0183476 -0.0983554  -1.33287 3.00847  
12.8648 0.0181448 -0.0980772  -1.32391 3.00658  
12.8962 0.0179447 -0.0978  -1.31502 3.00468  
12.9277 0.0177472 -0.0975237  -1.30619 3.00279  
12.9591 0.0175524 -0.0972483  -1.29743 3.0009  
12.9905 0.0173601 -0.0969738  -1.28873 2.999  
13.0219 0.0171703 -0.0967003  -1.2801 2.99711  
13.0533 0.016983 -0.0964277  -1.27153 2.99522  
13.0847 0.0167982 -0.096156  -1.26302 2.99332  
13.1161 0.0166157 -0.0958853  -1.25457 2.99143  
13.1476 0.0164357 -0.0956156  -1.24618 2.98954  
13.179 0.016258 -0.0953468  -1.23785 2.98764  
13.2104 0.0160826 -0.0950791  -1.22958 2.98575  
13.2418 0.0159095 -0.0948123  -1.22136 2.98386  
13.2732 0.0157387 -0.0945464  -1.21321 2.98196  
13.3046 0.0155701 -0.0942816  -1.20512 2.98007  
13.3361 0.0154036 -0.0940178  -1.19708 2.97818  
13.3675 0.0152393 -0.093755  -1.1891 2.97628  
13.3989 0.0150771 -0.0934932  -1.18117 2.97439  
13.4303 0.014917 -0.0932324  -1.1733 2.9725  
13.4617 0.014759 -0.0929726  -1.16548 2.9706  
13.4931 0.0146029 -0.0927138  -1.15772 2.96871  
