5.56062 0.0427753 -0.133618  2.78123 -0.951678  -0.0011248 -0.145405  3.05055 -1.03999  -0.0429098 -0.131176  3.29299 -1.04868  
5.62345 0.0420894 -0.132782  2.78586 -0.946022  -0.00108699 -0.144259  3.04965 -1.03377  -0.0422646 -0.13035  3.29052 -1.04324  
5.68628 0.0414177 -0.13195  2.79036 -0.940534  -0.00104899 -0.14313  3.04868 -1.02762  -0.0416337 -0.129532  3.28813 -1.03778  
5.74911 0.0407598 -0.131122  2.79473 -0.935214  -0.00101087 -0.142015  3.04766 -1.02157  -0.0410167 -0.128722  3.2858 -1.03229  
5.81195 0.0401153 -0.130298  2.79898 -0.930063  -0.000972699 -0.140916  3.04657 -1.01559  -0.0404132 -0.127919  3.28354 -1.02677  
5.87478 0.039484 -0.129478  2.8031 -0.925079  -0.000934549 -0.139832  3.04544 -1.00969  -0.0398228 -0.127124  3.28136 -1.02124  
5.93761 0.0388656 -0.128663  2.80711 -0.920262  -0.000896482 -0.138762  3.04426 -1.00388  -0.0392451 -0.126336  3.27924 -1.01569  
6.00044 0.0382597 -0.127852  2.811 -0.915612  -0.000858559 -0.137707  3.04302 -0.998136  -0.0386798 -0.125556  3.2772 -1.01013  
6.06327 0.0376661 -0.127046  2.81478 -0.911125  -0.000820839 -0.136666  3.04175 -0.992471  -0.0381266 -0.124784  3.27522 -1.00456  
6.12611 0.0370845 -0.126244  2.81845 -0.906801  -0.000783373 -0.135638  3.04043 -0.986878  -0.037585 -0.124018  3.27332 -0.998984  
6.18894 0.0365147 -0.125447  2.82202 -0.902636  -0.000746211 -0.134625  3.03906 -0.981356  -0.0370548 -0.12326  3.27148 -0.993405  
6.25177 0.0359563 -0.124656  2.82548 -0.898628  -0.000709401 -0.133624  3.03767 -0.975902  -0.0365357 -0.122509  3.26971 -0.987825  
6.3146 0.0354091 -0.12387  2.82885 -0.894775  -0.000672986 -0.132637  3.03623 -0.970514  -0.0360273 -0.121765  3.268 -0.982246  
6.37743 0.0348729 -0.123089  2.83213 -0.891072  -0.000637005 -0.131663  3.03477 -0.96519  -0.0355294 -0.121028  3.26636 -0.976673  
6.44026 0.0343474 -0.122313  2.83531 -0.887518  -0.000601495 -0.130702  3.03327 -0.959927  -0.0350417 -0.120297  3.26479 -0.971105  
6.5031 0.0338323 -0.121543  2.8384 -0.884107  -0.00056649 -0.129753  3.03175 -0.954723  -0.0345639 -0.119574  3.26328 -0.965547  
6.56593 0.0333275 -0.120778  2.84141 -0.880837  -0.000532021 -0.128817  3.0302 -0.949577  -0.0340958 -0.118857  3.26183 -0.959998  
